Source,ownership,Region,Name,Country,address,City and Region,State,description,Simple Category,Full Category,E-mail,Website,Phone,Facebook,Lat,Long,,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus / Facebook,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,,g_Rating,g_Types,open_CONTACT FIRST NAME,open_CONTACT SURNAME,open_CONTACT POSITION,IMAGE URL,FUNCTION,THEME,FORM,FOCUS,SUBMITTER FIRST NAME,SUBMITTER SURNAME,SUBMITTER EMAIL,SUBMITTER ORGANISATION,ADDRESS 1,ADDRESS 2,ADDRESS 3,Address 4,POSTCODE,address_open,description_open,Full Category_open,Lat_open,Long_open,faire_category,faire_annual,faire_name,faire_year,faire_event_type,faire_event_start_date,,giz_impact
Instructables Competition list,,USA,Soldering Iron Rangers,United States,"102 W Ludington St, Iron Mountain, MI 49801, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,https://sites.google.com/site/sironrangers/,,,45.8204,-88.0669,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102 W Ludington St, Iron Mountain, MI 49801, United States","45.8204066, -88.066905",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,0c84b86d0c1c82c43c23fa8922ea2154eee1619a,ChIJ9eO7xIRLUk0RWEfKXjkKnJs,"Superior Carpet, Tile & Hobby",,,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,South Junior High Tech Lab 221,United States,"Boise, ID","Boise, ID", ID,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,in process,,,43.6187,-116.215,,,,,,,,,,,,,,,,,,,,,,,,,,43.61871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Southeast Steuben County Library,United States,"300 Nasser Civic Center Plaza #101, Corning, NY 14830, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.ssclibrary.org,,,42.1423,-77.0472,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 Nasser Civic Center Plaza #101, Corning, NY 14830, United States","42.1422559, -77.0471896",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,12833f4ef9064b1ca02257c0b506b951665120f9,ChIJL7hWxTBI0IkRPuh7pVRHO2U,Southeast Steuben County Library,,4.6,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,SP Design Lab,United States,"1518 US-29 BUS, Altavista, VA 24517, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://icreateilearn.weebly.com/sp-design-lab,,,37.1323,-79.2685,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1518 US-29 BUS, Altavista, VA 24517, United States","37.1322557, -79.2685041",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c8d1abae9bcafe5c0b499e065ca2fe2b3a9d277b,ChIJb9hRbxa2sokRX9DC2vLP6fA,Abbott Laboratories,,,"[u'health', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Spokane Public Library,United States,Spokeane,,WA,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.spokanelibrary.org,,,47.6594,-117.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,"906 W Main Ave, Spokane, WA 99201, United States","47.659426, -117.425479",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,1c8ddf23387cb4951822604b1367998adf7333e1,ChIJz_OWGl4YnlQRyLV2raOV3vo,Spokane Public Library,,4.5,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,St Pete Makers,United States,"St Petersburg, Florida","St Petersburg, Florida, USA", Florida,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.stpetemakers.org,,,27.8716,-82.7518,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8200 Bryan Dairy Rd #200, Seminole, FL 33777, United States","27.8716285, -82.7518438",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,b9a2d4b73f478b1c2ef99b3f7674e9aaff7aa11e,ChIJ0eY1vGrlwogRL_msCbwWdWk,St. Petersburg/Clearwater Area Convention & Visitors Bureau,,,"[u'travel_agency', u'local_government_office', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,STEAMengine,United States,"Cape May Court House, NJ","Cape May Court House, NJ", NJ,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,tlc.cmclibrary.org,,,39.1936,-74.7566,,,,,,,,,,,,,,,,,,,,,,,,,,,,"720 Kings Hwy, Cape May Court House, NJ 08210, United States","39.1935844, -74.7566491",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,380b5ffb4d88c7778883eff1d5afe0a6da5c51e2,ChIJBWAYAZG6wIkRLrD7ASJ0zIc,Seashore Line Resort,,,"[u'lodging', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,STEM @ FCOE,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://stem.fcoe.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Suffolk Public Library,United States,"Suffolk, VA","Suffolk, VA", VA,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.suffolkpubliclibrary.com,,,36.7294,-76.5892,,,,,,,,,,,,,,,,,,,,,,,,,,,,"443 W Washington St, Suffolk, VA 23434, United States","36.729365, -76.5891512",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,d20d55ed0c62c35cb5a0cd279f639fb7d1a9e803,ChIJXZHxnAwPsIkR_OFggYAA-Po,Morgan Memorial Library,,,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Swag,United States,"333 NE Russell St, Portland, OR 97209, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://m.instructables.com/member/mwagner36143#,,,45.5411,-122.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333 NE Russell St, Portland, OR 97209, United States","45.5410855, -122.6619001",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,b1c9c841e23932ef835fc97a44ed9c32d119826a,ChIJvTryaUinlVQRWVmm1J0UReU,Swag Connection,,4.6,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Tech Liminal,United States,"#110, 555 12th St, Oakland, CA 94607, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://techliminal.com/,,,37.8036,-122.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#110, 555 12th St, Oakland, CA 94607, United States","37.8035692, -122.2748634",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,3d5341c317d6fd45b68f4bcc3476838781e7505e,ChIJJ_0C6LSAj4ARXugs-DLWWj8,Tech Liminal,,4.8,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Teen Area Maker Station at Mastics-Moriches Shirley Community Library,United States,"407 William Floyd Pkwy, Shirley, NY 11967",Shirley,NY,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.communitylibrary.org/teens,,,40.781,-72.8649,,,,,,,,,,,,,,,,,,,,,,,,,,40.781037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Generator,United States,"1331 N Central Expy, Richardson, TX 75080, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,thegeneratorinc.com,,,32.9662,-96.7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331 N Central Expy, Richardson, TX 75080, United States","32.9662195, -96.723732",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,14ebf1731c19e59d8455a9ed20223b5ed037d099,ChIJSY7jGT4fTIYRLVvGO4zH5_Y,Lute Riley Honda Parts,,,"[u'store', u'car_repair', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Hive @ THPL (Tampa-Hillsborough Public Libraries),United States,"Tampa, FL","Tampa, FL", FL,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.hillsboroughcounty.org,,,27.9509,-82.4624,,,,,,,,,,,,,,,,,,,,,,,,,,,,"900 N Ashley Dr, Tampa, FL 33602, United States","27.950868, -82.462354",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,1306e106e16d30288ef5acad9bf370be33e9cd0e,ChIJA7RMT4jEwogRgrBPYkkfnuY,Tampa-Hillsborough County Public Library,,,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Institute of Contemporary Art Boston,United States,"100 Northern Ave, Boston, MA 02210, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.icaboston.org/,,,42.3528,-71.0433,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 Northern Ave, Boston, MA 02210, United States","42.3528308, -71.0432531",https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,fd6f5c0e9c8ca6e3b73ecab67d058393b076c50d,ChIJxTCEOnlw44kROtPtIpMFsXo,The Institute of Contemporary Art/Boston,,3.8,"[u'museum', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Maker Studio at Science City,United States,"30 W Pershing Rd, Kansas City, MO 64108, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.unionstation.org/sciencecity/attractions/maker-studio,,,39.0856,-94.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 W Pershing Rd, Kansas City, MO 64108, United States","39.0856079, -94.586018",https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,5b959f4b8e24ad8fcbd06db4403f1d6828888423,ChIJn_t4g0DwwIcRyfxLerZpdrE,Science City,,4.5,"[u'museum', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Maker's ZONE,United States,"Kingsville, TX","Kingsville, TX", TX,,Makerspace,"Makerspace/Hackerspace, Fab Lab",computertech@kleberglibrary.com,http://www1.youseemore.com/rjkleberg/contentpages.asp?loc=85,,,27.5159,-97.8561,,,,,,,,,,,,,,,,,,,,,,,,,,27.515869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Robot Group,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",TheRobotGroupInc@gmail.com,www.therobotgroup.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Science House,United States,"122 E 38th St, New York, NY 10016, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.thesciencehouse.org,,,40.749,-73.9786,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122 E 38th St, New York, NY 10016, United States","40.7489963, -73.9785711",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4ac83954aa3e4aead03869b14963ccbcba856226,ChIJA18eyAZZwokRTdDoC3apHjc,Science House,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Sligh Operating Room,United States,"Tampa, Florida","Tampa, Florida", Florida,,Makerspace,"Makerspace/Hackerspace, Fab Lab",Slighlibrary@gmail.com,http://sligh.mysdhc.org/teacher/1482newhouse/link,,,27.9506,-82.4572,,,,,,,,,,,,,,,,,,,,,,,,,,27.950575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,The Teaching Resources Center at the University of North Carolina at Greensboro,United States,"1400 Spring Garden St, Greensboro, NC 27412, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,trc.uncg.edu,,,36.0663,-79.8063,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400 Spring Garden St, Greensboro, NC 27412, United States","36.0662897, -79.8063395",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,45686a8434876b7ca982417eb48df0787d4ad8fb,ChIJl8BtURUZU4gRp5s1sVp3G6Q,UNCG,,4.3,"[u'university', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Unity Computer House,United States,"27858 US-6, Rifle, CO 81650, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.unitycomputers.org,,,39.5284,-107.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27858 US-6, Rifle, CO 81650, United States","39.5284144, -107.7927506",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8f4e44037f7a6f6c1017b65011ad9339b55c8b28,ChIJuRRbDiQ5QYcRmH9vHdEgMSc,United Co of Western Colorado,,,"[u'general_contractor', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Valley View Makerspace,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.ashwaubenon.k12.wi.us/valleyview/VVLMC_makerspace.cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Virtuabotix,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Waloo,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Warehouse - Healdsburg,United States,"Healdsburg, CA","Healdsburg, CA", CA,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,warehousehealdsburg.com,,,38.626,-122.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 Dry Creek Rd, Healdsburg, CA 95448, United States","38.6260475, -122.873508",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,acc6fc75abfa83aed6935471f9ab577ea1f710b4,ChIJyz-VcscQhIAR0rKcuGexhFU,Tip Top Liquor Warehouse,,,"[u'liquor_store', u'store', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Waunakee Public Library,United States,"Waunakee, WI","Waunakee, WI", WI,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.waunakeepubliclibrary.org,,,43.185,-89.4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,"710 South St, Waunakee, WI 53597, United States","43.184981, -89.455832",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,06102c8b71ec1a709ab6100b1e6395e08aaddd46,ChIJjf07Zb0AB4gRdoMa43adJMs,Waunakee Public Library,,,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,West Jordan Library,United States,"8030 S 1825 W, West Jordan, UT 84088, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,https://www.facebook.com/WestJordanLibrary?ref=hl,,,40.6052,-111.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8030 S 1825 W, West Jordan, UT 84088, United States","40.6051562, -111.9424508",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,f7d15ac580d443c4a19ff6e68d32ef08aedfa07c,ChIJURgtGymJUocRecsHpog3wdU,Viridian West Jordan Library,,,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,West Middle School Media Center,United States,"149 Barry Ave N, Wayzata, MN 55391, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,https://sites.google.com/a/mcsdonline.org/wms-tech-warriors/system/app/pages/createPage?source=/system/app/pages/sitemap/hierarchy,,,44.9753,-93.5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149 Barry Ave N, Wayzata, MN 55391, United States","44.975255, -93.518414",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,e4107dab50aa5ee30bcb18dff99249aa7552aed2,ChIJ98281o1Ms1IR8x2fKOY38K4,Wayzata West Middle School,,,"[u'school', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Winder Public Library,United States,"83 W May St, Winder, GA 30680, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.prlib.org,,,33.9936,-83.7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83 W May St, Winder, GA 30680, United States","33.993563, -83.72756",https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,c92c025fbeca3ff78a91488825d59308d97fc4bd,ChIJK9EAfofn9YgRLLb-Pw4vwIQ,Winder Public Works,,,"[u'local_government_office', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Wolfie's Workshop,United States,"Peachtree Corners, GA","Peachtree Corners, GA", GA,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.wesleyanschool.org,,,33.9699,-84.2215,,,,,,,,,,,,,,,,,,,,,,,,,,33.969893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Womens Audio Mission,United States,"C-1, 542-544 Natoma St, San Francisco, CA 94103, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.womensaudiomission.org/,,,37.7796,-122.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C-1, 542-544 Natoma St, San Francisco, CA 94103, United States","37.7795502, -122.4088122",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,6230d8cd358c8588315b0764b21663251dae597d,ChIJL3J_VjB-j4ARNsoaCax4P24,Women's Audio Mission,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Worthington Library,United States,"820 High St, Worthington, OH 43085, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.worthingtonlibraries.org/,,,40.0906,-83.0174,,,,,,,,,,,,,,,,,,,,,,,,,,,,"820 High St, Worthington, OH 43085, United States","40.0906307, -83.0173664",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,59ebcbe54ef527745cf3be66213a8967f050be59,ChIJp79O_8iMOIgRTDCgwhF_urw,Old Worthington Library,,4.4,"[u'library', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,WREN Works Maker Studio,United States,"Berlin, NH","Berlin, NH", NH,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.wrenworks.org,,,44.469,-71.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117 Main St, Berlin, NH 03570, United States","44.4690369, -71.1818127",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2c1dcbf7c6ea593d43b9f9716246646eebb7fb8c,ChIJt1M_BmLws0wRASOlq_7l8Q8,WREN Works Maker Studio Berlin,,,"[u'store', u'art_gallery', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,WTPL-Try It,United States,,,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.wtpl.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,YDI Computer Clubhouse,United States,"285 US-84, Espa_Ñola, NM 87532, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,www.ydinm.org,,,35.9905,-106.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285 US-84, Espa_Ñola, NM 87532, United States","35.990534, -106.0800147",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e37fedac53eee97b7c9016b61d6256cfeddad3e1,ChIJg6uBv4k8GIcR3McPb8WqkK0,Ydi Northern Administration Office,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Competition list,,USA,Zappos Mobile,United States,"376 Zappos.com Blvd, Shepherdsville, KY 40165, United States",,,,Makerspace,"Makerspace/Hackerspace, Fab Lab",,http://www.zappos.com/iphone-app,,,37.9818,-85.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,"376 Zappos.com Blvd, Shepherdsville, KY 40165, United States","37.9817762, -85.683956",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,a2351708bd003b085b39f7fb5f4de37499227857,ChIJ30oVilUBaYgRdc9jGNf7TVg,Zappos.Com,,4.2,"[u'shoe_store', u'clothing_store', u'store', u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Abbenay Hackspace,Sweden,,,,,Makerspace,Makerspace/Hackerspace,,http://www.abbenay.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Avana MediaLab,Italy,,,,,Makerspace,Makerspace/Hackerspace,,http://avana.forteprenestino.net/,,,,,,,,,http://avana.forteprenestino.net/contattaci.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Base Istanbul,Turkey,Istanbul,Istanbul,,,Makerspace,Makerspace/Hackerspace,,http://baseistanbul.org/,,,41.008238,28.978359,,,,40940,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Chaos Computer Club Hannover,Germany,,,,,Makerspace,Makerspace/Hackerspace,kontakt@hannover.ccc.de,https://hannover.ccc.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Chaos inKL,Germany,,,,,Makerspace,Makerspace/Hackerspace,info@chaos-inkl.de,http://hackerspaces.org/wiki/Chaos_inKL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,ChaosChemnitz,Germany,,,,,Makerspace,Makerspace/Hackerspace,info@chaoschemnitz.de,http://hackerspaces.org/wiki/ChaosChemnitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Cyberhippietotalism,Spain,,,,,Makerspace,Makerspace/Hackerspace,,http://hackerspaces.org/wiki/Cyberhippietotalism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,,Destination Pirate,Guadeloupe,Guadeloupe,,,,Makerspace,Makerspace/Hackerspace,,http://hackerspaces.org/wiki/Destination_Pirate,,,16.265,-61.551,,,,,,,,,,,,,,,,,,,,,,,,,,,"-61.551,16.265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Digital Aachen ,Germany,,,,,Makerspace,Makerspace/Hackerspace,board@digitac.cc,http://digitac.cc/kontakt.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,ELab UAlg,Portugal,Algarve,Faro,,,Makerspace,Makerspace/Hackerspace,ualg.elab@gmail.com,http://ualgelab.wordpress.com/,,,37.017954,-7.930834,,,,40858,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,FED e.V.,Germany,,,,,Makerspace,Makerspace/Hackerspace,info@fedev.eu,https://www.fedev.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Hack Aarhus,Denmark,,,,,Makerspace,Makerspace/Hackerspace,hack-arhus@googlegroups.com,hackaarhus.dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Hackandfab,Spain,,,,,Makerspace,Makerspace/Hackerspace,http://hackandfab.wordpress.com/about/,http://www.hackandfab.com/,,,,,,,,,web form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Hacker School,Portugal,,,,,Makerspace,Makerspace/Hackerspace,hackerschool@ist.utl.pt,http://hackerschool.ist.utl.pt/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Hackerspace Barcelona,Spain,,,,,Makerspace,Makerspace/Hackerspace,hs-bcn@marsupi.org,http://hackerspaces.org/wiki/Hs-bcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,HackerSpace Bastogne,Belgium,,,,,Makerspace,Makerspace/Hackerspace,contact@bhackspace.be,http://wiki.bhackspace.be/index.php/Main_Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,Hackerspace Riga,Latvia,,,,,Makerspace,Makerspace/Hackerspace,hspace.riga@gmail.com,http://hackerspace.lv/kontakti/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,Europe,HackerspacePl,Poland,Mazowieckie,Warsaw,,,Makerspace,Makerspace/Hackerspace,,http://hackerspace.pl/,,,51.892718,21.002168,,,,,,planned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructables Hackerspace list,,,Herejia,Argentina,Argentina,,,,Makerspace,Makerspace/Hackerspace,lab@herejia.net,http://herejia.net/,,,-38.416,-63.6167,,,,,,,,,,,,,,,,,,,,,,,,,,,"-63.6167,-38.416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
